,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,196,Timor-Leste,TLS,879,879.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
1,2018-09-20T00:00:00,190,Timor-Leste,TLS,909,912.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,-3.0
2,2019-04-04T00:00:00,195,Timor-Leste,TLS,900,900.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
3,2018-12-20T00:00:00,196,Timor-Leste,TLS,900,900.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
4,2019-09-19T00:00:00,199,Timor-Leste,TLS,879,879.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
5,2019-07-25T00:00:00,201,Timor-Leste,TLS,879,879.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
6,2019-10-24T00:00:00,198,Timor-Leste,TLS,879,879.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
7,2018-03-15T00:00:00,190,Timor-Leste,TLS,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
8,2018-10-25T00:00:00,191,Timor-Leste,TLS,910,909.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,1.0
9,2018-08-16T00:00:00,190,Timor-Leste,TLS,912,912.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
10,2019-02-07T00:00:00,196,Timor-Leste,TLS,900,900.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
11,2018-07-01T00:00:00,196,Timor-Leste,TLS,861,861.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
12,2019-06-14T00:00:00,200,Timor-Leste,TLS,879,900.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,-21.0
13,2017-12-21T00:00:00,191,Timor-Leste,TLS,44,32.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,12.0
14,2018-06-07T00:00:00,190,Timor-Leste,TLS,45,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,1.0
15,2017-11-23T00:00:00,196,Timor-Leste,TLS,32,42.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,-10.0
16,2018-05-17T00:00:00,190,Timor-Leste,TLS,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
17,2018-11-29T00:00:00,196,Timor-Leste,TLS,900,910.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,-10.0
18,2018-02-15T00:00:00,191,Timor-Leste,TLS,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
19,2018-01-18T00:00:00,191,Timor-Leste,TLS,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
20,2018-04-12T00:00:00,190,Timor-Leste,TLS,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
21,2017-10-16T00:00:00,192,Timor-Leste,TLS,42,40.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,2.0
22,2017-09-14T00:00:00,192,Timor-Leste,TLS,40,42.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,-2.0
23,2017-06-01T00:00:00,196,Timor-Leste,TLS,51,52.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,-1.0
24,2017-07-06T00:00:00,196,Timor-Leste,TLS,42,51.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,-9.0
25,2017-08-10T00:00:00,196,Timor-Leste,TLS,42,42.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
26,2017-03-09T00:00:00,194,Timor-Leste,TLS,53,53.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
27,2017-05-04T00:00:00,195,Timor-Leste,TLS,52,52.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,0.0
28,2017-04-06T00:00:00,195,Timor-Leste,TLS,52,53.0,https://api.fifa.com/api/v1/picture/flags-sq-4/tls,-1.0
