,date,rank,country,ct,points,previousPoints,flag,delta
0,2019-11-28T00:00:00,207,US Virgin Islands,VIR,844,856.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,-12.0
1,2018-09-20T00:00:00,201,US Virgin Islands,VIR,889,892.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,-3.0
2,2019-04-04T00:00:00,200,US Virgin Islands,VIR,888,881.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,7.0
3,2018-12-20T00:00:00,202,US Virgin Islands,VIR,881,881.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
4,2019-09-19T00:00:00,201,US Virgin Islands,VIR,875,888.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,-13.0
5,2019-07-25T00:00:00,199,US Virgin Islands,VIR,888,888.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
6,2019-10-24T00:00:00,206,US Virgin Islands,VIR,856,875.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,-19.0
7,2018-03-15T00:00:00,198,US Virgin Islands,VIR,26,26.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
8,2018-10-25T00:00:00,200,US Virgin Islands,VIR,887,889.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,-2.0
9,2018-08-16T00:00:00,199,US Virgin Islands,VIR,892,892.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
10,2019-02-07T00:00:00,202,US Virgin Islands,VIR,881,881.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
11,2018-07-01T00:00:00,200,US Virgin Islands,VIR,847,847.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
12,2019-06-14T00:00:00,199,US Virgin Islands,VIR,888,888.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
13,2017-12-21T00:00:00,198,US Virgin Islands,VIR,26,26.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
14,2018-06-07T00:00:00,199,US Virgin Islands,VIR,18,18.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
15,2017-11-23T00:00:00,197,US Virgin Islands,VIR,26,26.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
16,2018-05-17T00:00:00,199,US Virgin Islands,VIR,18,18.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
17,2018-11-29T00:00:00,202,US Virgin Islands,VIR,881,887.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,-6.0
18,2018-02-15T00:00:00,198,US Virgin Islands,VIR,26,26.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
19,2018-01-18T00:00:00,198,US Virgin Islands,VIR,26,26.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
20,2018-04-12T00:00:00,199,US Virgin Islands,VIR,18,26.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,-8.0
21,2017-10-16T00:00:00,199,US Virgin Islands,VIR,26,26.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
22,2017-09-14T00:00:00,199,US Virgin Islands,VIR,26,26.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
23,2017-06-01T00:00:00,199,US Virgin Islands,VIR,26,26.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
24,2017-07-06T00:00:00,199,US Virgin Islands,VIR,26,26.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
25,2017-08-10T00:00:00,199,US Virgin Islands,VIR,26,26.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
26,2017-03-09T00:00:00,195,US Virgin Islands,VIR,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
27,2017-05-04T00:00:00,199,US Virgin Islands,VIR,26,26.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
28,2017-04-06T00:00:00,199,US Virgin Islands,VIR,26,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,-18.0
29,2017-02-09T00:00:00,195,US Virgin Islands,VIR,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
30,2017-01-12T00:00:00,195,US Virgin Islands,VIR,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
31,2016-12-22T00:00:00,195,US Virgin Islands,VIR,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
32,2016-10-20T00:00:00,195,US Virgin Islands,VIR,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
33,2016-11-24T00:00:00,195,US Virgin Islands,VIR,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
34,2016-09-15T00:00:00,195,US Virgin Islands,VIR,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
35,2016-08-11T00:00:00,195,US Virgin Islands,VIR,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
36,2016-05-05T00:00:00,193,US Virgin Islands,VIR,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
37,2016-07-14T00:00:00,196,US Virgin Islands,VIR,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
38,2016-03-03T00:00:00,178,US Virgin Islands,VIR,88,88.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
39,2016-04-07T00:00:00,193,US Virgin Islands,VIR,44,88.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,-44.0
40,2016-02-04T00:00:00,178,US Virgin Islands,VIR,88,88.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
41,2016-06-02T00:00:00,194,US Virgin Islands,VIR,44,44.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
42,2016-01-07T00:00:00,177,US Virgin Islands,VIR,88,88.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
43,2015-12-03T00:00:00,177,US Virgin Islands,VIR,88,88.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
44,2015-11-05T00:00:00,178,US Virgin Islands,VIR,88,88.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
45,2015-10-01T00:00:00,178,US Virgin Islands,VIR,88,88.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
46,2015-09-03T00:00:00,176,US Virgin Islands,VIR,88,88.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
47,2015-08-06T00:00:00,176,US Virgin Islands,VIR,88,97.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,-9.0
48,2015-05-07T00:00:00,174,US Virgin Islands,VIR,104,104.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
49,2015-07-09T00:00:00,175,US Virgin Islands,VIR,97,104.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,-7.0
50,2015-03-12T00:00:00,197,US Virgin Islands,VIR,16,16.0,https://api.fifa.com/api/v1/picture/flags-sq-4/vir,0.0
